timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/09/19 18:15:29.684, 0, 96.62 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:29.684, 1, 82.27 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:30.713, 0, 95.76 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:30.713, 1, 86.11 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:31.713, 0, 95.00 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:31.713, 1, 98.19 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:32.714, 0, 96.77 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:32.714, 1, 107.18 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:33.714, 0, 96.37 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:33.714, 1, 94.87 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:34.714, 0, 95.92 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:34.805, 1, 108.63 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:35.806, 0, 95.01 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:35.823, 1, 109.28 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:36.825, 0, 95.73 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:36.826, 1, 97.79 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:37.826, 0, 96.62 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:37.826, 1, 88.59 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:38.826, 0, 96.15 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:38.827, 1, 84.31 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:39.868, 0, 95.44 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:39.938, 1, 88.19 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:40.939, 0, 95.86 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:40.939, 1, 79.45 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:41.939, 0, 94.87 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:41.939, 1, 83.50 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:42.940, 0, 95.90 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:42.940, 1, 104.50 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:43.940, 0, 96.77 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:44.032, 1, 106.10 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:45.033, 0, 85.33 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:45.049, 1, 103.67 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:46.211, 0, 81.93 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:46.211, 1, 85.80 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:47.211, 0, 95.64 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:47.211, 1, 86.53 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:48.212, 0, 96.77 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:48.212, 1, 102.28 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:49.212, 0, 96.70 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:49.212, 1, 106.88 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:50.213, 0, 86.97 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:50.318, 1, 106.85 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:51.432, 0, 79.58 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:51.432, 1, 109.74 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:52.433, 0, 96.46 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:52.433, 1, 93.14 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:53.433, 0, 96.06 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:53.433, 1, 82.74 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:54.434, 0, 95.14 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:54.533, 1, 90.38 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:55.533, 0, 95.64 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:55.557, 1, 88.53 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:56.557, 0, 96.70 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:56.557, 1, 76.71 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:57.558, 0, 96.58 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:57.558, 1, 93.35 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:58.558, 0, 95.63 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:58.558, 1, 93.35 W, 0 %, 0 %, 15 MiB
2025/09/19 18:15:59.663, 0, 95.38 W, 0 %, 0 %, 16 MiB
2025/09/19 18:15:59.683, 1, 81.26 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:00.683, 0, 96.38 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:00.683, 1, 82.71 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:01.684, 0, 97.19 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:01.684, 1, 89.20 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:02.684, 0, 96.81 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:02.684, 1, 86.21 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:03.685, 0, 95.12 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:03.685, 1, 85.11 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:04.685, 0, 95.09 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:04.799, 1, 90.91 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:05.800, 0, 95.93 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:05.801, 1, 93.87 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:06.801, 0, 96.76 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:06.801, 1, 100.35 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:07.801, 0, 88.64 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:07.830, 1, 98.46 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:08.830, 0, 74.16 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:08.830, 1, 81.67 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:09.910, 0, 68.44 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:09.911, 1, 88.08 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:10.911, 0, 81.41 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:10.911, 1, 94.93 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:11.911, 0, 86.67 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:11.911, 1, 86.24 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:13.028, 0, 61.87 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:13.175, 1, 64.58 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:14.176, 0, 51.41 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:14.176, 1, 43.21 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:15.176, 0, 78.04 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:15.176, 1, 57.59 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:16.177, 0, 91.95 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:16.177, 1, 78.37 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:17.177, 0, 95.85 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:17.178, 1, 91.20 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:18.178, 0, 95.89 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:18.178, 1, 81.00 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:19.178, 0, 96.64 W, 0 %, 0 %, 16 MiB
